Date_ID,Citizenship_ID,Location_ID,Number_of_Tourists
1,1,1,"5,531"
1,1,2,"3,900"
1,1,3,"1,688"
1,1,4,"3,840"
1,1,5,"4,241"
1,1,6,"5,572"
1,1,7,0
1,2,1,"53,248"
1,2,2,"89,394"
1,2,3,"22,645"
1,2,4,"108,428"
1,2,5,"7,078"
1,2,6,529
1,2,7,321
2,1,1,"4,473"
2,1,2,"2,947"
2,1,3,"1,177"
2,1,4,"2,233"
2,1,5,"1,911"
2,1,6,879
2,1,7,0
2,2,1,"40,855"
2,2,2,"68,098"
2,2,3,"13,114"
2,2,4,"54,787"
2,2,5,"3,347"
2,2,6,292
2,2,7,187
3,1,1,"7,755"
3,1,2,"4,242"
3,1,3,"1,884"
3,1,4,"2,955"
3,1,5,"2,432"
3,1,6,940
3,1,7,0
3,2,1,"63,170"
3,2,2,"113,944"
3,2,3,"19,925"
3,2,4,"72,147"
3,2,5,"4,154"
3,2,6,391
3,2,7,135
4,1,1,"6,036"
4,1,2,"4,311"
4,1,3,"2,105"
4,1,4,"2,061"
4,1,5,"2,166"
4,1,6,617
4,1,7,0
4,2,1,"78,613"
4,2,2,"158,151"
4,2,3,"20,396"
4,2,4,"53,770"
4,2,5,"4,828"
4,2,6,273
4,2,7,378
5,1,1,"66,740"
5,1,2,"36,506"
5,1,3,"6,280"
5,1,4,"3,604"
5,1,5,"7,017"
5,1,6,"2,497"
5,1,7,0
5,2,1,"88,618"
5,2,2,"209,131"
5,2,3,"41,902"
5,2,4,"59,182"
5,2,5,"9,677"
5,2,6,"1,081"
5,2,7,916
6,1,1,"140,789"
6,1,2,"86,567"
6,1,3,"8,211"
6,1,4,"5,868"
6,1,5,"23,635"
6,1,6,"3,229"
6,1,7,0
6,2,1,"97,355"
6,2,2,"169,165"
6,2,3,"42,399"
6,2,4,"48,651"
6,2,5,"16,891"
6,2,6,"1,103"
6,2,7,924
7,1,1,"127,768"
7,1,2,"134,045"
7,1,3,"7,826"
7,1,4,"7,817"
7,1,5,"51,303"
7,1,6,"5,527"
7,1,7,16
7,2,1,"190,297"
7,2,2,"236,333"
7,2,3,"53,867"
7,2,4,"52,297"
7,2,5,"24,987"
7,2,6,"1,552"
7,2,7,588
8,1,1,"186,161"
8,1,2,"123,232"
8,1,3,"6,692"
8,1,4,"6,963"
8,1,5,"54,844"
8,1,6,"8,676"
8,1,7,2
8,2,1,"240,546"
8,2,2,"117,360"
8,2,3,"23,418"
8,2,4,"27,790"
8,2,5,"21,354"
8,2,6,"1,762"
8,2,7,298
9,1,1,"234,207"
9,1,2,"108,523"
9,1,3,"5,689"
9,1,4,"7,030"
9,1,5,"41,543"
9,1,6,"2,587"
9,1,7,11
9,2,1,"357,250"
9,2,2,"206,491"
9,2,3,"33,445"
9,2,4,"81,334"
9,2,5,"23,676"
9,2,6,"1,864"
9,2,7,229
10,1,1,"321,435"
10,1,2,"115,867"
10,1,3,"7,540"
10,1,4,"6,705"
10,1,5,"33,191"
10,1,6,"2,086"
10,1,7,3
10,2,1,"198,686"
10,2,2,"162,699"
10,2,3,"18,499"
10,2,4,"108,568"
10,2,5,"13,060"
10,2,6,998
10,2,7,189
11,1,1,"524,068"
11,1,2,"125,568"
11,1,3,"8,069"
11,1,4,"6,773"
11,1,5,"27,772"
11,1,6,"2,115"
11,1,7,0
11,2,1,"203,296"
11,2,2,"151,330"
11,2,3,"20,282"
11,2,4,"122,861"
11,2,5,"12,723"
11,2,6,"1,090"
11,2,7,0
12,1,1,"424,076"
12,1,2,"90,679"
12,1,3,"2,764"
12,1,4,"8,058"
12,1,5,"19,708"
12,1,6,"3,467"
12,1,7,0
12,2,1,"228,515"
12,2,2,"138,232"
12,2,3,"23,492"
12,2,4,"134,650"
12,2,5,"19,994"
12,2,6,"2,353"
12,2,7,12
13,1,1,"323,525"
13,1,2,"86,638"
13,1,3,"3,544"
13,1,4,"15,266"
13,1,5,"25,275"
13,1,6,"7,175"
13,1,7,0
13,2,1,"143,010"
13,2,2,"150,564"
13,2,3,"22,319"
13,2,4,"132,941"
13,2,5,"17,027"
13,2,6,"1,475"
13,2,7,288
14,1,1,"246,748"
14,1,2,"73,729"
14,1,3,"5,728"
14,1,4,"7,527"
14,1,5,"13,476"
14,1,6,"1,910"
14,1,7,0
14,2,1,"147,157"
14,2,2,"158,627"
14,2,3,"24,295"
14,2,4,"132,388"
14,2,5,"11,274"
14,2,6,"1,081"
14,2,7,130
15,1,1,"497,019"
15,1,2,"185,973"
15,1,3,"7,451"
15,1,4,"10,850"
15,1,5,"24,163"
15,1,6,"2,524"
15,1,7,1
15,2,1,"189,125"
15,2,2,"225,356"
15,2,3,"25,575"
15,2,4,"166,704"
15,2,5,"14,395"
15,2,6,"1,315"
15,2,7,150
16,1,1,"231,655"
16,1,2,"54,761"
16,1,3,"5,136"
16,1,4,"9,668"
16,1,5,"12,745"
16,1,6,"2,070"
16,1,7,0
16,2,1,"184,853"
16,2,2,"269,451"
16,2,3,"28,965"
16,2,4,"189,899"
16,2,5,"19,417"
16,2,6,"1,859"
16,2,7,197
17,1,1,"701,492"
17,1,2,"171,662"
17,1,3,"8,562"
17,1,4,"19,242"
17,1,5,"47,625"
17,1,6,"3,981"
17,1,7,0
17,2,1,"187,372"
17,2,2,"149,513"
17,2,3,"25,459"
17,2,4,"130,664"
17,2,5,"22,600"
17,2,6,"1,787"
17,2,7,95
18,1,1,"619,199"
18,1,2,"144,560"
18,1,3,"11,440"
18,1,4,"21,741"
18,1,5,"67,501"
18,1,6,"4,397"
18,1,7,6
18,2,1,"193,994"
18,2,2,"302,759"
18,2,3,"46,891"
18,2,4,"199,115"
18,2,5,"36,912"
18,2,6,"2,209"
18,2,7,425
19,1,1,"700,063"
19,1,2,"249,544"
19,1,3,"18,566"
19,1,4,"34,410"
19,1,5,"184,293"
19,1,6,"8,190"
19,1,7,0
19,2,1,"196,580"
19,2,2,"459,680"
19,2,3,"70,798"
19,2,4,"235,148"
19,2,5,"49,448"
19,2,6,"2,384"
19,2,7,"1,168"
20,1,1,"753,006"
20,1,2,"233,204"
20,1,3,"15,356"
20,1,4,"26,747"
20,1,5,"185,021"
20,1,6,"8,055"
20,1,7,2
20,2,1,"174,901"
20,2,2,"176,998"
20,2,3,"26,620"
20,2,4,"107,005"
20,2,5,"36,945"
20,2,6,"1,665"
20,2,7,207
21,1,1,"549,151"
21,1,2,"156,248"
21,1,3,"10,601"
21,1,4,"21,026"
21,1,5,"104,902"
21,1,6,"4,172"
21,1,7,0
21,2,1,"167,864"
21,2,2,"167,277"
21,2,3,"21,835"
21,2,4,"122,269"
21,2,5,"34,591"
21,2,6,"1,830"
21,2,7,122
22,1,1,"514,167"
22,1,2,"144,030"
22,1,3,"8,990"
22,1,4,"20,892"
22,1,5,"83,852"
22,1,6,"3,127"
22,1,7,3
22,2,1,"201,472"
22,2,2,"157,775"
22,2,3,"21,032"
22,2,4,"136,283"
22,2,5,"29,516"
22,2,6,"1,897"
22,2,7,110
23,1,1,"668,700"
23,1,2,"154,218"
23,1,3,"9,217"
23,1,4,"26,823"
23,1,5,"80,583"
23,1,6,"2,531"
23,1,7,0
23,2,1,"236,892"
23,2,2,"169,315"
23,2,3,"25,163"
23,2,4,"143,610"
23,2,5,"26,360"
23,2,6,"1,631"
23,2,7,94
24,1,1,"591,366"
24,1,2,"127,494"
24,1,3,"8,416"
24,1,4,"17,786"
24,1,5,"59,444"
24,1,6,"3,505"
24,1,7,6
24,2,1,"253,599"
24,2,2,"164,744"
24,2,3,"28,089"
24,2,4,"168,056"
24,2,5,"36,042"
24,2,6,"2,003"
24,2,7,97
